Epoch:155   Accuracy:95.09   Best_Accuracy:95.18
Epoch:156   Accuracy:95.16   Best_Accuracy:95.18
Epoch:157   Accuracy:95.21   Best_Accuracy:95.21
Epoch:158   Accuracy:95.29   Best_Accuracy:95.29
Epoch:159   Accuracy:95.30   Best_Accuracy:95.30
Epoch:160   Accuracy:95.35   Best_Accuracy:95.35
Epoch:161   Accuracy:95.40   Best_Accuracy:95.40
Epoch:162   Accuracy:95.34   Best_Accuracy:95.40
Epoch:163   Accuracy:95.37   Best_Accuracy:95.40
Epoch:164   Accuracy:95.42   Best_Accuracy:95.42
Epoch:165   Accuracy:95.41   Best_Accuracy:95.42
Epoch:166   Accuracy:95.23   Best_Accuracy:95.42
Epoch:167   Accuracy:95.27   Best_Accuracy:95.42
Epoch:168   Accuracy:95.30   Best_Accuracy:95.42
Epoch:169   Accuracy:95.28   Best_Accuracy:95.42
Epoch:170   Accuracy:95.30   Best_Accuracy:95.42
Epoch:171   Accuracy:95.26   Best_Accuracy:95.42
Epoch:172   Accuracy:95.30   Best_Accuracy:95.42
Epoch:173   Accuracy:95.20   Best_Accuracy:95.42
Epoch:174   Accuracy:95.29   Best_Accuracy:95.42
Epoch:175   Accuracy:95.30   Best_Accuracy:95.42
Epoch:176   Accuracy:95.36   Best_Accuracy:95.42
Epoch:177   Accuracy:95.34   Best_Accuracy:95.42
Epoch:178   Accuracy:95.26   Best_Accuracy:95.42
Epoch:179   Accuracy:95.47   Best_Accuracy:95.47
Epoch:180   Accuracy:95.36   Best_Accuracy:95.47
Epoch:181   Accuracy:95.32   Best_Accuracy:95.47
Epoch:182   Accuracy:95.59   Best_Accuracy:95.59
Epoch:183   Accuracy:95.49   Best_Accuracy:95.59
Epoch:184   Accuracy:95.36   Best_Accuracy:95.59
Epoch:185   Accuracy:95.46   Best_Accuracy:95.59
Epoch:186   Accuracy:95.38   Best_Accuracy:95.59
Epoch:187   Accuracy:95.36   Best_Accuracy:95.59
Epoch:188   Accuracy:95.35   Best_Accuracy:95.59
Epoch:189   Accuracy:95.41   Best_Accuracy:95.59
Epoch:190   Accuracy:95.41   Best_Accuracy:95.59
Epoch:191   Accuracy:95.39   Best_Accuracy:95.59
Epoch:192   Accuracy:95.44   Best_Accuracy:95.59
Epoch:193   Accuracy:95.45   Best_Accuracy:95.59
Epoch:194   Accuracy:95.38   Best_Accuracy:95.59
Epoch:195   Accuracy:95.37   Best_Accuracy:95.59
Epoch:196   Accuracy:95.39   Best_Accuracy:95.59
Epoch:197   Accuracy:95.43   Best_Accuracy:95.59
Epoch:198   Accuracy:95.42   Best_Accuracy:95.59
Epoch:199   Accuracy:95.28   Best_Accuracy:95.59
Epoch:200   Accuracy:95.35   Best_Accuracy:95.59
Epoch:201   Accuracy:95.44   Best_Accuracy:95.59
Epoch:202   Accuracy:95.46   Best_Accuracy:95.59
Epoch:203   Accuracy:95.41   Best_Accuracy:95.59
Epoch:204   Accuracy:95.38   Best_Accuracy:95.59
Epoch:205   Accuracy:95.32   Best_Accuracy:95.59
Epoch:206   Accuracy:95.30   Best_Accuracy:95.59
Epoch:207   Accuracy:95.40   Best_Accuracy:95.59
Epoch:208   Accuracy:95.41   Best_Accuracy:95.59
Epoch:209   Accuracy:95.40   Best_Accuracy:95.59
Epoch:210   Accuracy:95.29   Best_Accuracy:95.59
Epoch:211   Accuracy:95.54   Best_Accuracy:95.59
Epoch:212   Accuracy:95.38   Best_Accuracy:95.59
Epoch:213   Accuracy:95.42   Best_Accuracy:95.59
Epoch:214   Accuracy:95.21   Best_Accuracy:95.59
Epoch:215   Accuracy:95.37   Best_Accuracy:95.59
Epoch:216   Accuracy:95.42   Best_Accuracy:95.59
Epoch:217   Accuracy:95.43   Best_Accuracy:95.59
Epoch:218   Accuracy:95.22   Best_Accuracy:95.59
Epoch:219   Accuracy:94.89   Best_Accuracy:95.59
Epoch:220   Accuracy:95.35   Best_Accuracy:95.59
Epoch:221   Accuracy:95.52   Best_Accuracy:95.59
Epoch:222   Accuracy:95.29   Best_Accuracy:95.59
Epoch:223   Accuracy:95.46   Best_Accuracy:95.59
Epoch:224   Accuracy:95.49   Best_Accuracy:95.59
